   2301  3043  3197	 128 3141.77   43.36	  128 3141.77	43.36  3141.8  
   2302  2948  3087	 148 3034.78   43.28	  148 3034.78	43.28  3034.8  
   2303  3109  3233	 163 3156.82   36.31	  163 3156.82	36.31  3156.8  
   2304  2992  3138	 160 3062.30   39.67	  160 3062.30	39.67  3062.3  
   2305  3050  3153	 163 3107.39   32.14	  163 3107.39	32.14  3107.4  
   2306  2970  3087	 177 3038.12   36.58	  177 3038.12	36.58  3038.1  
   2307  3006  3138	 163 3076.67   36.60	  163 3076.67	36.60  3076.7  
   2308  2955  3102	 151 3016.88   33.83	  151 3016.88	33.83  3016.9  
   2309  3028  3167	 146 3103.47   34.72	  146 3103.47	34.72  3103.5  
   2310  2919  3094	 180 2994.72   34.11	  180 2994.72	34.11  2994.7  
   2311  2919  3094	 139 3026.08   34.39	  139 3026.08	34.39  3026.1  
   2312  3109  3241	 150 3185.83   40.68	  150 3185.83	40.68  3185.8  
   2313  3109  3241	 174 3179.57   38.14	  107 3168.58	 0.02  3168.6  
   2314  2977  3138	 149 3071.64   37.76	  149 3071.64	37.76  3071.6  
   2315  2948  3138	 170 3019.38   34.71	  170 3019.38	34.71  3019.4  
   2316  3109  3233	 136 3166.90   41.18	  136 3166.90	41.18  3166.9  
   2317  3006  3138	 164 3080.14   30.58	  164 3080.14	30.58  3080.1  
   2318  2904  3080	 131 2985.29   32.34	  131 2985.29	32.34  2985.3  
   2319  2919  3080	 151 3027.43   38.90	  151 3027.43	38.90  3027.4  
   2320  3006  3153	 168 3079.36   32.12	  168 3079.36	32.12  3079.4  
   2321  2853  3036	 167 2926.74   38.55	  167 2926.74	38.55  2926.7  
   2322  2867  3036	 156 2963.12   37.30	  156 2963.12	37.30  2963.1  
   2323  2867  3036	 167 2967.93   36.45	  167 2967.93	36.45  2967.9  
   2324  2926  3109	 162 2998.04   41.05	  162 2998.04	41.05  2998.0  
   2325  3072  3248	 159 3164.40   37.02	  159 3164.40	37.02  3164.4  
   2326  2875  2984	 149 2935.71   30.66	  149 2935.71	30.66  2935.7  
   2327  2904  3087	 175 2978.94   40.67	  175 2978.94	40.67  2978.9  
   2328  2984  3131	 142 3066.51   43.47	  142 3066.51	43.47  3066.5  
   2329  2984  3131	 161 3059.40   56.13	  161 3059.40	56.13  3059.4  
   2330  3058  3219	 158 3127.41   58.08	  158 3127.41	58.08  3127.4  
   2331  2963  3080	 131 3012.31   35.24	  131 3012.31	35.24  3012.3  
   2332  3043  3197	 159 3114.06   36.11	  159 3114.06	36.11  3114.1  
   2333  2955  3109	 137 3014.75   35.63	  137 3014.75	35.63  3014.8  
   2334  3043  3153	 155 3095.36   32.36	  155 3095.36	32.36  3095.4  
   2335  2948  3153	 153 3002.72   33.58	  153 3002.72	33.58  3002.7  
   2336  3006  3123	 133 3059.83   40.04	  133 3059.83	40.04  3059.8  
   2337  3102  3248	 136 3177.68   39.72	  136 3177.68	39.72  3177.7  
   2338  2955  3248	 151 3064.83   35.57	  151 3064.83	35.57  3064.8  
   2339  2955  3248	 182 3039.95   38.46	  182 3039.95	38.46  3039.9  
   2340  2955  3248	 174 3008.49   34.58	  174 3008.49	34.58  3008.5  
   2341  2933  3036	 170 2990.55   35.69	  170 2990.55	35.69  2990.6  
   2342  2933  3182	 139 3009.92   35.00	  139 3009.92	35.00  3009.9  
   2343  3036  3182	 174 3117.44   38.44	  174 3117.44	38.44  3117.4  
   2344  2999  3131	 153 3070.73   38.47	  153 3070.73	38.47  3070.7  
   2345  3065  3204	 157 3129.72   35.60	  157 3129.72	35.60  3129.7  
   2346  2948  3138	 132 3005.82   31.29	  132 3005.82	31.29  3005.8  
   2347  2948  3138	 161 3052.65   38.19	  161 3052.65	38.19  3052.7  
   2348  3028  3226	 139 3109.32   38.16	  139 3109.32	38.16  3109.3  
